Deposit,Sample,Reference,Fe,Mn,Co,Cu,Ga,Ge,Ag,Cd,In,Sn,Sb,Pb,Deposit type
Baoshan epi,815-12-6,"Zhang et al., 2022",290,2777,0.108236358,2021,27.95,41.5,92.9,3856,3.8,32.9,187.13,58.53,Epithermal
Baoshan epi,815-12-6,"Zhang et al., 2022",370,2568,0.130908687,1004,91.89,24.5,60.1,5289,7.2,43.6,232.52,18.22,Epithermal
Baoshan epi,815-12-6,"Zhang et al., 2022",330,1646,0.122764824,1614,133.14,34.6,87.6,5903,41.9,134.6,293,37.79,Epithermal
Baoshan epi,815-12-6,"Zhang et al., 2022",447,1335,0.123763714,802,70.86,8.6,64.6,4988,23.4,215,76.66,14.77,Epithermal
Baoshan epi,815-12-6,"Zhang et al., 2022",7061,4896,0.144509747,871,56.51,7.1,35.7,5627,60.8,391.6,62.29,23.62,Epithermal
Baoshan epi,815-12-6,"Zhang et al., 2022",17443,5412,0.137491461,5170,105.58,10.9,100.8,6049,51.8,563.8,88.68,53.54,Epithermal
Baoshan epi,815-12-6,"Zhang et al., 2022",2312,4668,0.124542779,3617,55.87,26.6,216.8,5671,19.8,314.9,253.24,87.67,Epithermal
Baoshan Skarn,472,"Zhang et al., 2022",40236,333,327.91,498,0.09,1.6,4,2809,365.6,1.1,0.02,1.01,Skarn
Baoshan Skarn,472,"Zhang et al., 2022",39800,284,327.22,850,0.09,1.7,7,2849,390.6,1,0.13,1.43,Skarn
Baoshan Skarn,472,"Zhang et al., 2022",40549,338,315.18,8407,0.22,1.8,67.2,2634,479.3,6.1,3.49,7.26,Skarn
Baoshan Skarn,472,"Zhang et al., 2022",41476,355,320.92,7408,0.19,1.3,67,2593,469.7,8.4,5.9,4.63,Skarn
Baoshan Skarn,472,"Zhang et al., 2022",35338,258,898.34,1917,0.14,1.5,34.8,2960,961.2,23.7,9.56,13.6,Skarn
Baoshan Skarn,472,"Zhang et al., 2022",35815,277,907.71,2922,0.07,1.9,28.1,2874,502.9,22.4,3.93,9.89,Skarn
Baoshan Skarn,472,"Zhang et al., 2022",39793,290,871.47,2490,0.0344,1.6,6.6,3058,450.9,1.7,0.04,2.61,Skarn
Baoshan Skarn,472,"Zhang et al., 2022",43932,271,820.66,2525,0.14,1.7,13.4,2919,667,5.3,1.48,4.82,Skarn
Baoshan Skarn,472,"Zhang et al., 2022",43462,277,821.86,2061,0.28,2,8.7,3001,567.6,7.4,5.83,3.26,Skarn
Baoshan Skarn,472,"Zhang et al., 2022",40161,265,840.09,1084,0.23,1.5,4.3,3012,555.2,15.5,0.03,4.02,Skarn
Baoshan Skarn,472,"Zhang et al., 2022",45721,293,811.82,3593,0.19,1.2,5.6,3022,502.7,4,0.25,1.12,Skarn
Baoshan Skarn,472,"Zhang et al., 2022",39907,259,872.06,1917,0.22,2,11.6,3016,470.6,8.2,0.25,2.78,Skarn
Baoshan Skarn,472,"Zhang et al., 2022",41345,282,822.09,1539,0.0362,1.6,9.5,3031,489.4,3.6,3.93,2.4,Skarn
Baoshan Skarn,472,"Zhang et al., 2022",37507,226,916.87,1512,0.09,1.5,16.8,2939,462,20.7,5.94,6.09,Skarn
Cerro de Maimón,RD-CM-prov1,"Torró et al., 2022",551.7911803,406.0060505,0.070816223,82.05730054,69.63722667,1.008296576,2.635322306,3496.986393,10.18306541,0.253140389,0.366196679,1.942744679,VMS
Cerro de Maimón,RD-CM-prov1,"Torró et al., 2022",643.452137,533.3677161,0.068840668,110.4796799,80.86662737,0.78354966,2.75041453,3889.499098,10.24220079,0.502273403,0.130384344,10.4721433,VMS
Cerro de Maimón,RD-CM-prov1,"Torró et al., 2022",613.581863,494.0961547,0.054390081,116.3961172,95.44595118,0.972187906,3.447594676,3831.988116,9.979188208,0.358825871,0.510641698,18.52626644,VMS
Cerro de Maimón,RD-CM-prov1,"Torró et al., 2022",581.289,481.52,0.051838,130.907,91.6594,1.56623,3.1795,3740.67,10.0778,1.50175,0.202729,8.70398,VMS
Cerro de Maimón,RD-CM-prov1,"Torró et al., 2022",511.6,448.303,0.1144415,147.828,94.229,6.24523,3.13019,3600.86,9.98978,2.45563,3.30305,9.98375,VMS
Cerro de Maimón,RD-CM-prov1,"Torró et al., 2022",568.4,461.565,0.0592145,117.543,94.9672,1.22476,2.73645,3699.5,9.95165,0.300721,0.126049,6.55683,VMS
Cerro de Maimón,RD-CM-prov1,"Torró et al., 2022",572.774,478.161,0.0570055,107.62,79.9943,0.565349,3.10311,3766.84,9.69782,0.160783,0.0307231,3.24093,VMS
Cerro de Maimón,RD-CM-prov1,"Torró et al., 2022",527.774,474.9,0.0625195,124.971,95.6999,1.68068,3.94463,3829.27,9.80846,0.836989,0.182766,9.13268,VMS
Cerro de Maimón,RD-CM-prov1,"Torró et al., 2022",537,538.638,0.0530045,118.878,95.1165,0.568729,4.15885,3577.49,9.47941,0.211456,0.0263615,12.9142,VMS
Cerro de Maimón,RD-CM-prov1,"Torró et al., 2022",554.831,533.925,0.0616235,137.555,95.6522,0.985784,4.48771,3546.12,9.02229,0.276084,0.296641,23.2529,VMS
Cerro de Maimón,RD-CM-prov1,"Torró et al., 2022",541.049,465.606,0.05845,121.594,90.2247,1.50036,3.91933,3574.28,10.4562,0.600813,0.25839,30.4547,VMS
Cerro de Maimón,RD-CM-prov1,"Torró et al., 2022",577.205,446.434,0.0588875,113.962,85.4108,0.676787,3.71365,3709.72,11.2062,0.232058,0.0524017,5.93808,VMS
Cerro de Maimón,RD-CM-prov1,"Torró et al., 2022",595.995,472.237,0.057359,112.219,77.8348,0.804348,3.49604,3833.67,10.4011,0.26129,0.142462,12.5069,VMS
Cerro de Maimón,RD-CM-prov1,"Torró et al., 2022",636.077,416.674,0.072822,112.878,77.2696,0.72642,2.89789,3905.14,10.693,0.323736,0.235967,16.6007,VMS
Cerro de Maimón,RD-CM-prov2,"Torró et al., 2022",19.3213,466.472,0.0536035,150.983,77.993,0.339,9.27908,3553.87,5.94944,0.143664,0.0341484,5.82564,VMS
Cerro de Maimón,RD-CM-prov2,"Torró et al., 2022",4.67544,412.878,0.056564,163.285,72.6215,0.890383,21.3228,3702.94,7.32451,0.437788,0.156533,26.4075,VMS
Cerro de Maimón,RD-CM-prov2,"Torró et al., 2022",16.9781,439.863,0.052892,172.211,81.6913,0.23261,16.009,3413.38,8.59308,0.166405,0.0354539,7.30461,VMS
Qilinchang,HZQ7-8-1,"Oyebamiji et al., 2023",248355.5,45.51,0.04,898.4,2.57,325.31,24.25,943.81,0.04,2.68,13.5,32.47,MVT
Qilinchang,HZQ7-8-2,"Oyebamiji et al., 2023",259555.1,12.79,0.04,8.57,1.03,0.45,5.12,724.17,0.56,1.17,0.8,2.78,MVT
Qilinchang,HZQ7-8-3,"Oyebamiji et al., 2023",933310.7,77.96,0.05,55.68,3.78,14.8,27.265,898.71,0.19,3,9.99,40.78,MVT
Qilinchang,HZQ7-8-4,"Oyebamiji et al., 2023",552288.7,102.83,0.04,72.98,9.07,12.62,40.395,1018.61,0.24,5.53,15.62,28.53,MVT
Qilinchang,HZQ7-8-5,"Oyebamiji et al., 2023",635583.7,54.4,0.04,19.4,1.99,3.49,12.71,808.88,0.21,1.58,7.17,12.8,MVT
Qilinchang,HZQ11d-6,"Oyebamiji et al., 2023",233953.1,17.93,0.06,175.37,1.27,21.34,106.28,1097.89,0.01,0.67,133.84,128.39,MVT
Qilinchang,HZQ11d-7,"Oyebamiji et al., 2023",96555.91,85.04,0.07,375.46,1.33,30.55,523.255,810.13,0.01,0.54,38.73,176.31,MVT
Qilinchang,HZQ11d-8,"Oyebamiji et al., 2023",229541.7,100.18,0.06,605.65,0.03,1.16,368.785,872.38,0.01,0.21,11.26,80.64,MVT
Qilinchang,HZQ11d-9,"Oyebamiji et al., 2023",839045.2,21.26,0.06,778.67,1.63,129.43,461.95,893.42,0.01,0.36,49.14,153.83,MVT
Qilinchang,HZQ11d-10,"Oyebamiji et al., 2023",263536.7,24.58,0.15,369.3,1.72,3.08,154.555,956.57,0.13,0.76,61.95,414.72,MVT
Qilinchang,HZQ13-6-1,"Oyebamiji et al., 2023",276451.9,22.14,0.16,89.66,2.8,1.92,44.6,888.86,1.17,0.88,22.29,39.17,MVT
Qilinchang,HZQ13-6-2,"Oyebamiji et al., 2023",485404.9,23.35,0.12,77.45,0.91,0.92,49.45,797.29,0.42,0.84,17.9,26.97,MVT
Qilinchang,HZQ13-6-3,"Oyebamiji et al., 2023",642763.5,24.05,0.33,121.5,1.86,1.52,39.135,892.25,0.77,1.4,41.42,65.32,MVT
Qilinchang,HZQ13-6-3,"Oyebamiji et al., 2023",470786.6,33.15,0.51,106.26,1.32,1.9,42.63,958.58,0.27,1.34,30.94,45.23,MVT
Qilinchang,HZQ13-6-4,"Oyebamiji et al., 2023",100247.1,14.29,0.23,342.83,1.12,0.92,147.28,889.42,0.31,0.46,69.39,82.49,MVT
Qilinchang,HZQ13-6-5,"Oyebamiji et al., 2023",944942.5,75.17,0.11,878.59,0.29,52.44,37.285,822.4,0.01,0.22,10.83,12.26,MVT
Qilinchang,HZQ13-6-6,"Oyebamiji et al., 2023",522788.6,90.06,0.1,1447.49,0.09,46.54,71.79,807.92,0.01,0.32,5.12,4.25,MVT
Qilinchang,HZQ13-6-7,"Oyebamiji et al., 2023",53050.12,80.69,0.13,1582.56,0.32,48.41,33.065,795.39,0.01,0.17,3.86,9.77,MVT
Qilinchang,HZQ13-6-8,"Oyebamiji et al., 2023",842902.8,232.79,0.22,495.01,0.51,3.36,64.005,1089.15,0.03,0.31,11.14,11.38,MVT
Qilinchang,HZQ13-6-9,"Oyebamiji et al., 2023",574319.5,195.96,0.27,612.99,0.52,4.08,41.805,786.38,0.02,0.24,3.58,4.67,MVT
Qilinchang,HZQ-3-1-7,"Oyebamiji et al., 2023",146665.4,10.95,0.21,6783.05,320.98,129.13,14.87,862.16,14.75,13.61,142.81,9.48,MVT
Qilinchang,HZQ-3-1-8,"Oyebamiji et al., 2023",132291,10.47,0.2,3864.3,225.14,107.92,21,950.06,9.96,9.23,149.34,15.23,MVT
Qilinchang,HZQ-3-1-9,"Oyebamiji et al., 2023",153833.8,12.83,0.33,222.5,22.63,7.96,9.74,1321.08,0.02,0.3,14.62,11.79,MVT
Qilinchang,HZQ-3-1-10,"Oyebamiji et al., 2023",182010.7,12.99,0.17,256.45,26.86,9.67,5.995,1110.03,2.51,3.07,7.6,5.49,MVT
Qilinchang,HZ13-11-1,"Oyebamiji et al., 2023",184573.6,18.72,3.63,440.24,6.25,16.42,92.6,870.97,0.11,0.85,45.75,484.06,MVT
Qilinchang,HZ13-11-1,"Oyebamiji et al., 2023",358569.4,17.11,0.48,385.64,6.18,22.23,47.795,1065.14,0.15,0.92,30.69,249.61,MVT
Qilinchang,HZ13-11-6,"Oyebamiji et al., 2023",181210.4,15,0.17,11.18,0.64,0.67,3.2,825.47,0.48,0.23,0.51,0.56,MVT
Qilinchang,HZ13-11-7,"Oyebamiji et al., 2023",299452.7,18.05,0.15,14.37,0.73,0.77,5.59,817.82,0.78,0.3,1.73,1.68,MVT
Qilinchang,HZ13-11-8,"Oyebamiji et al., 2023",201818,29.45,0.12,9.15,0.83,0.72,4.33,919.52,0.07,0.28,0.63,1.39,MVT
Qilinchang,HZ13-11-9,"Oyebamiji et al., 2023",100184,22.58,0.17,12.42,0.51,2.05,4.91,812.74,0.39,0.49,3.26,4.97,MVT
Qilinchang,HZ13-11-10,"Oyebamiji et al., 2023",423237.4,33.97,0.13,5.42,0.29,0.95,2.275,849.06,0.31,0.22,0.3,0.37,MVT
Qilinchang,HZQ-5-7-6,"Oyebamiji et al., 2023",149995.2,113.4,0.2,863.7,0.005,271.3,29.8,1357.5,0.005,0.4,2.9,0.005,MVT
Qilinchang,HZQ-5-7-7,"Oyebamiji et al., 2023",125800.3,70.4,0.1,361.5,0.2,102.8,42.1,1475.9,0.005,0.2,20.1,0.005,MVT
Qilinchang,HZQ-5-7-8,"Oyebamiji et al., 2023",290878.3,6.2,6.2,525,0.005,27.1,149.5,884.4,0.2,0.005,415.9,0.005,MVT
Qilinchang,HZQ-5-7-9,"Oyebamiji et al., 2023",4857.4,9.2,0.005,65.5,4.2,10.7,9.2,1692.3,0.2,0.1,20,0.005,MVT
Qilinchang,HZQ-5-7-10,"Oyebamiji et al., 2023",3388.4,9,0.005,65.6,4.6,4.2,32.1,1774.1,0.5,0.5,30.5,0.005,MVT
Qilinchang,HZQ-5-2-1,"Oyebamiji et al., 2023",27832.3,14.3,0.1,15,0.3,0.7,15.2,1272,1.3,0.2,1.1,0.005,MVT
Qilinchang,HZQ-5-2-2,"Oyebamiji et al., 2023",25058.4,11.8,0.005,21.8,3.6,0.8,8.1,1006.6,8.9,0.1,0.005,0.005,MVT
Qilinchang,HZQ-5-2-3,"Oyebamiji et al., 2023",22236.9,9.4,0.005,40.6,3.9,0.8,4.5,1015.5,33.9,0.2,0.1,0.005,MVT
Qilinchang,HZQ-5-2-4,"Oyebamiji et al., 2023",22000.8,9.4,0.005,37.4,4.6,0.7,3.1,983.9,31.7,0.005,0.4,0.005,MVT
Qilinchang,HZQ-5-2-5,"Oyebamiji et al., 2023",20267.2,13.6,0.2,72.4,4.1,0.8,61.9,1085.3,38.1,0.3,8.6,0.005,MVT
Qilinchang,HZQ-5-2-6,"Oyebamiji et al., 2023",21267.8,9.7,0.1,35.1,5.9,1.3,1.6,977.3,28.3,0.1,0.2,0.005,MVT
Qilinchang,HZQ-5-2-7,"Oyebamiji et al., 2023",22724.6,13.1,0.1,108.8,8.8,21.2,9.6,968.5,0.5,15.5,3.1,0.005,MVT
Qilinchang,HZQ-5-2-8,"Oyebamiji et al., 2023",25479.3,14.7,0.005,137.4,8.7,34.4,11.9,1016.4,0.2,6.7,1.1,0.005,MVT
Qilinchang,HZQ-5-2-9,"Oyebamiji et al., 2023",26272.5,14.9,0.005,109.2,3.9,28,32.6,1035,0.005,0.8,4.1,0.005,MVT
Qilinchang,HZQ-5-2-10,"Oyebamiji et al., 2023",35980.2,21.7,0.005,202.2,5.1,61,8,1122.6,0.005,0.7,2,0.005,MVT
Qilinchang,HZQ-5b-7-6,"Oyebamiji et al., 2023",14596.2,13,0.005,445.9,0.5,1.3,50.1,1071.1,3.8,1.2,7.2,0.005,MVT
Qilinchang,HZQ-5b-7-7,"Oyebamiji et al., 2023",6458.6,9,0.005,33.6,1,1.3,20.8,1003,2.4,1.1,10,0.005,MVT
Qilinchang,HZQ-5b-7-8,"Oyebamiji et al., 2023",34829.7,36.7,0.005,269.4,1.2,6.5,145.6,1093.9,6,0.9,120.6,0.005,MVT
Qilinchang,HZQ-5b-7-9,"Oyebamiji et al., 2023",78351.6,130.2,0.005,25.2,0.5,3.2,9.8,1623.5,0.005,0.9,21,0.005,MVT
Qilinchang,HZQ-5b-7-10,"Oyebamiji et al., 2023",18207.1,21.5,0.005,526,1.1,0.5,22.5,979.3,7,1.2,1.6,0.005,MVT
Qilinchang,HZQ-11a-7,"Oyebamiji et al., 2023",62434.6,33.2,0.1,12.9,0.1,2.1,11.3,1502.2,0.005,0.2,10,0.005,MVT
Qilinchang,HZQ-11a-8,"Oyebamiji et al., 2023",61119.3,32.3,0.005,257.1,1.2,90.2,15.7,1464.8,0.005,0.4,0.2,0.005,MVT
Qilinchang,HZQ-11a-9,"Oyebamiji et al., 2023",51686,27.9,0.005,7.8,0.1,0.1,37.3,1639.7,0.005,0.3,12,0.005,MVT
Qilinchang,HZQ-11a-10,"Oyebamiji et al., 2023",59419.3,31,0.1,261.5,1.1,93.3,23.4,1507.7,0.005,0.2,5.8,0.005,MVT
Qilinchang,HZQ-11c-6,"Oyebamiji et al., 2023",41325.4,35.3,0.005,356.4,1.5,118.1,26.7,1132.9,0.005,1.2,38.6,0.005,MVT
Qilinchang,HZQ-11c-7,"Oyebamiji et al., 2023",32261.5,24,0.005,234.6,1.1,72.1,24.6,1191.8,0.005,1.1,40.5,0.005,MVT
Qilinchang,HZQ-11c-8,"Oyebamiji et al., 2023",31905.2,31.6,0.005,273.3,1,90,23,1124.7,0.005,0.4,27,0.005,MVT
Qilinchang,HZQ-11c-9,"Oyebamiji et al., 2023",48836.7,48.8,0.005,421.8,1.4,136.9,78.5,1115.2,0.005,1.1,60.5,0.005,MVT
Qilinchang,HZQ-11c-10,"Oyebamiji et al., 2023",112680.3,115.2,0.005,24.1,0.1,5.9,53.4,1770.9,0.005,0.1,10.4,0.005,MVT
Qilinchang,HZQ-13-10-1,"Oyebamiji et al., 2023",33261.3,157.4,0.005,202.8,2.9,55.1,11.1,1767.6,0.3,1.5,7.7,0.005,MVT
Qilinchang,HZQ-13-10-2,"Oyebamiji et al., 2023",49078.8,122.3,0.005,27.3,0.5,19.7,8.1,1237.7,0.005,0.2,6.8,0.005,MVT
Qilinchang,HZQ-13-10-3,"Oyebamiji et al., 2023",1888.9,22.2,0.005,402.2,71.2,55.7,6.5,1108,2.3,0.2,43.8,0.005,MVT
Qilinchang,HZQ-13-10-4,"Oyebamiji et al., 2023",1916.2,23.3,0.005,408.8,55.6,55.1,10.4,1420.4,0.6,0.005,60.3,0.005,MVT
Qilinchang,HZQ-13-10-5,"Oyebamiji et al., 2023",1896.2,4.6,0.1,9.3,1.7,0.6,5.5,1170.7,0.7,0.4,1.5,0.005,MVT
Qilinchang,HZQ-13-10-6,"Oyebamiji et al., 2023",855.8,39.3,0.005,244.9,35.6,35.6,22.1,1077.4,2.5,7.4,10.3,0.005,MVT
Qilinchang,HZQ-13-10-7,"Oyebamiji et al., 2023",19345.9,8.3,0.005,23.2,2,0.6,11.8,773.5,7.1,0.2,5.4,0.005,MVT
Qilinchang,HZQ-13-10-8,"Oyebamiji et al., 2023",42921,18.1,0.005,10.1,0.5,0.4,49.4,1116.9,0.005,0.3,7.7,0.005,MVT
Qilinchang,HZQ-13-10-9,"Oyebamiji et al., 2023",21476,13.7,0.005,44,0.6,2.9,25.5,1063.8,1.5,1.4,4.7,0.005,MVT
Qilinchang,HZQ-13-10-10,"Oyebamiji et al., 2023",22936,7.8,0.1,17.2,1.2,0.5,18.3,784.4,0.6,0.2,10.8,0.005,MVT
Qilinchang,HZQ-13-16-1,"Oyebamiji et al., 2023",20816.29,14.89,0.11,69.14,5.76,6.78,35.16,1018.69,0.65,1.48,537.65,0.005,MVT
Qilinchang,HZQ-13-16-3,"Oyebamiji et al., 2023",22343.05,98.06,0.04,126.44,5.57,27.44,47.22,1062.74,0.09,0.94,33.2,0.005,MVT
Qilinchang,HZQ-13-16-4,"Oyebamiji et al., 2023",47753.2,109.12,0.01,617.9,5.94,158.02,50.58,1128.8,0.05,1.59,31.1,0.005,MVT
Qilinchang,HZQ-13-16-5,"Oyebamiji et al., 2023",1301.25,19.43,0.01,62.35,4.75,4.97,3.75,879.14,4.7,16.95,1.8,0.005,MVT
Qilinchang,HZQ-13-16-6,"Oyebamiji et al., 2023",8572.47,5.15,0.03,36.67,1.01,1.1,36.48,751.4,2.31,0.27,25.5,0.005,MVT
Qilinchang,HZQ-13-16-7,"Oyebamiji et al., 2023",30392.55,12.31,0.005,8.09,0.57,0.72,4.95,811.66,0.82,0.23,0.8,0.005,MVT
Qilinchang,HZQ-13-16-8,"Oyebamiji et al., 2023",22875.12,135.37,0.03,220.58,3.71,61.24,8.6,1198.43,0.26,2.3,10.09,0.005,MVT
Qilinchang,HZQ-13-16-9,"Oyebamiji et al., 2023",19880.35,7.81,0.1,18.08,4.22,0.13,4.57,694.98,6.15,0.12,0.46,0.005,MVT
Qilinchang,HZQ-13-16-10,"Oyebamiji et al., 2023",17411.19,120.17,0.005,361.26,16.02,102.13,9.48,1026.26,0.07,1.41,1.38,0.005,MVT
Qilinchang,HZQ-3-3-Sph - 1,"Oyebamiji et al., 2023",1812.49,10.67,0.02,35.57,12.3,7.96,6.79,1222.42,0.01,0.43,4.19,2.14,MVT
Qilinchang,HZQ-3-3-Sph - 2,"Oyebamiji et al., 2023",1023.14,6,0.02,237.69,89.63,55.85,8.28,629.16,1.71,0.47,17.32,2.37,MVT
Qilinchang,HZQ-3-3-Sph - 3,"Oyebamiji et al., 2023",1353.83,8.48,0.02,65.21,36.61,14.27,1.65,906.64,0.11,0.25,0.07,0.05,MVT
Qilinchang,HZQ-3-3-Sph - 4,"Oyebamiji et al., 2023",144.28,27.85,0.02,685.36,13.71,204.7,28.57,900.91,0.62,5.73,61.35,5.35,MVT
Qilinchang,HZQ-3-3-Sph - 5,"Oyebamiji et al., 2023",1595.28,9.29,0.02,21.13,8.87,3.02,5.21,1082.27,1.38,3.44,0.96,1.58,MVT
Qilinchang,HZQ-3-3-Sph - 6,"Oyebamiji et al., 2023",1406.94,7.01,0.02,36.74,16.41,6.29,0.56,994.94,0.63,5.06,0.03,0.06,MVT
Qilinchang,HZQ-3-3-Sph - 7,"Oyebamiji et al., 2023",929.98,6.55,0.02,48.04,13.59,3.99,6.02,843.83,7.08,17.36,0.12,1.34,MVT
Qilinchang,HZQ-3-3-Sph - 8,"Oyebamiji et al., 2023",895.31,6.37,0.02,33.49,10.46,3.26,13.17,838.45,6.47,11.92,0.9,1.97,MVT
Qilinchang,HZQ-3-3-Sph - 9,"Oyebamiji et al., 2023",1136.05,7.8,0.02,64.08,31.4,10.48,3.62,983.91,0.84,3.64,0.54,0.97,MVT
Qilinchang,HZQ-3-3-Sph - 10,"Oyebamiji et al., 2023",2081.54,13.7,0.02,182.6,15.1,14.87,49.25,1608.48,0.03,0.45,118.21,24.13,MVT
Qilinchang,HZQ-4-1-Sph - 1,"Oyebamiji et al., 2023",12792.11,11.16,0.02,2.13,0.01,0.09,1.17,824.3,0.005,0.06,0.02,0.01,MVT
Qilinchang,HZQ-4-1-Sph - 2,"Oyebamiji et al., 2023",9562.18,9.31,0.03,5.06,0.88,0.12,2.51,743.79,0.005,0.06,0.02,0.01,MVT
Qilinchang,HZQ-4-1-Sph - 3,"Oyebamiji et al., 2023",11499.43,10.84,0.02,57.56,1.38,26.38,5.95,776.84,0.005,0.16,0.56,1.45,MVT
Qilinchang,HZQ-4-1-Sph - 4,"Oyebamiji et al., 2023",11111.6,10.43,0.02,82.84,2.86,37.07,1.68,804.73,0.01,0.24,0.02,0.04,MVT
Qilinchang,HZQ-4-1-Sph - 5,"Oyebamiji et al., 2023",9793.46,9.84,0.02,2.29,0.12,0.08,1.45,849.96,0.01,0.06,0.48,0.66,MVT
Qilinchang,HZQ-4-1-Sph - 6,"Oyebamiji et al., 2023",11354.87,10.57,0.02,6.04,0.28,0.35,16.79,770.16,0.005,0.06,2.78,5.14,MVT
Qilinchang,HZQ-4-1-Sph - 7,"Oyebamiji et al., 2023",16352.4,13.09,0.02,2.84,0.03,0.08,3.94,869.68,0.005,0.06,0.04,0.21,MVT
Qilinchang,HZQ-4-1-Sph - 8,"Oyebamiji et al., 2023",14739.62,12.51,0.02,37.73,0.65,18.05,2.48,774.35,0.005,0.15,0.02,0.03,MVT
Qilinchang,HZQ-4-1-Sph - 9,"Oyebamiji et al., 2023",13911.12,11.85,0.02,2.2,0.15,0.09,3.05,777.87,0.005,0.06,0.02,0.08,MVT
Qilinchang,HZQ-4-1-Sph - 10,"Oyebamiji et al., 2023",12334.48,10.65,0.02,50.25,1.78,22.29,2.53,771.55,0.01,0.75,0.06,0.4,MVT
Qilinchang,HZQ-5-9-Sph - 1,"Oyebamiji et al., 2023",10443.8,11.17,0.03,17.55,0.46,2.17,18.54,761.72,0.22,0.2,13.97,13.42,MVT
Qilinchang,HZQ-5-9-Sph - 2,"Oyebamiji et al., 2023",7742.1,9.83,0.03,12.55,0.15,0.49,16.92,677.93,0.01,0.07,13.76,7.43,MVT
Qilinchang,HZQ-5-9-Sph - 3,"Oyebamiji et al., 2023",7826,10.57,0.03,11.95,1.52,0.24,17.28,656.32,0.05,0.07,2.13,9.65,MVT
Qilinchang,HZQ-5-9-Sph - 4,"Oyebamiji et al., 2023",7398.03,7.45,0.02,15.61,2.87,0.78,10.6,662.75,9.43,0.17,4.93,17.46,MVT
Qilinchang,HZQ-5-9-Sph - 5,"Oyebamiji et al., 2023",11987.62,11.64,0.05,10.86,0.76,0.3,11.86,710.54,0.04,0.1,3.5,11.46,MVT
Qilinchang,HZQ-5-9-Sph - 6,"Oyebamiji et al., 2023",10070.1,14.47,0.02,227.13,25.89,89.93,13.11,697.29,0.39,9.63,3.9,6.33,MVT
Qilinchang,HZQ-5-9-Sph - 7,"Oyebamiji et al., 2023",11637.81,11.12,0.02,26.39,3.2,7.11,5.86,692.33,0.66,0.98,5.64,5.76,MVT
Qilinchang,HZQ-5-9-Sph - 8,"Oyebamiji et al., 2023",12332.72,13.57,0.02,119.57,3.23,53.26,20,739.19,0.09,1.7,5.95,12.27,MVT
Qilinchang,HZQ-5-9-Sph - 9,"Oyebamiji et al., 2023",8807.31,9.14,0.05,69.22,2.19,46.09,37.64,708.65,0.09,1.03,11.47,52.06,MVT
Qilinchang,HZQ-5-9-Sph - 10,"Oyebamiji et al., 2023",10362.54,12.8,0.02,54.74,1.64,19.42,19.9,694.15,0.06,0.3,10.31,27.54,MVT
Qilinchang,HZQ-7-3-Sph - 1,"Oyebamiji et al., 2023",12975.03,11.74,0.02,4.18,0.04,0.14,10.72,764.67,0.01,0.06,1.91,3.48,MVT
Qilinchang,HZQ-7-3-Sph - 2,"Oyebamiji et al., 2023",9801.53,9.48,0.02,3.12,1.19,0.3,0.85,829.89,0.005,0.07,0.02,0.02,MVT
Qilinchang,HZQ-7-3-Sph - 3,"Oyebamiji et al., 2023",9275.43,8.83,0.02,2.26,0.49,0.1,1.12,728.2,0.005,0.07,0.02,0.06,MVT
Qilinchang,HZQ-7-3-Sph - 4,"Oyebamiji et al., 2023",8625.99,8.19,0.02,57.88,2.57,25.34,1.21,731.14,0.005,0.33,0.11,0.17,MVT
Qilinchang,HZQ-7-3-Sph - 5,"Oyebamiji et al., 2023",9290.34,8.93,0.02,1.57,0.15,0.09,1.02,871.46,0.005,0.06,0.02,0.02,MVT
Qilinchang,HZQ-7-3-Sph - 6,"Oyebamiji et al., 2023",9917.01,9.75,0.02,1.48,0.03,0.09,1.5,923.72,0.005,0.06,0.02,0.02,MVT
Qilinchang,HZQ-7-3-Sph - 7,"Oyebamiji et al., 2023",9631.88,9.39,0.02,2.11,0.06,0.09,2.37,835.76,0.005,0.06,0.03,0.02,MVT
Qilinchang,HZQ-7-3-Sph - 8,"Oyebamiji et al., 2023",9719.32,9.73,0.02,63.54,3.88,27.38,3.45,765.13,0.01,0.37,0.08,0.13,MVT
Qilinchang,HZQ-7-3-Sph - 9,"Oyebamiji et al., 2023",9314.73,9.33,0.02,2.29,0.03,0.12,2.5,942.48,0.005,0.06,0.02,0.02,MVT
Qilinchang,HZQ-7-3-Sph - 10,"Oyebamiji et al., 2023",8706.01,8.08,0.03,91.71,8.67,38.44,3.51,778.72,0.005,0.8,0.08,0.59,MVT
San Vicente,2019-SV-02,"Torró et al., 2023",7767.09604,8.720774059,50.6513405,3,0.184627857,44.11916104,20.14509599,1339.471832,0.0059,0.184132547,0.035214875,418.173143,MVT
San Vicente,2019-SV-02,"Torró et al., 2023",7562.612082,5.247911065,53.147012,4,0.132073104,43.51835535,12.48025419,1452.491308,0.0066,0.129284705,0.03,2083.977596,MVT
San Vicente,2019-SV-02,"Torró et al., 2023",6755.32491,8.446079346,44.26812263,4.7,0.19672925,45.94786215,17.92738086,1446.72738,0.0079,0.150705178,0.039,456.2379019,MVT
San Vicente,2019-SV-02,"Torró et al., 2023",6309.072806,6.260626312,45.42614753,4,0.183331827,54.65535654,14.56385555,1567.432982,0.008,0.13580786,0.037,641.0606203,MVT
